year,state_abbr,state_name,population
1994,NV,     Nevada,1457000
1994,NY,     New York,18169000
1994,OH,     Ohio,11102000
1994,OK,     Oklahoma,3258000
1994,OR,     Oregon,3086000
1994,PA,     Pennsylvania,12052000
1994,RI,     Rhode Island,997000
1994,SC,     South Carolina,3664000
1994,SD,     South Dakota,721000
1994,TN,     Tennessee,5175000
1994,TX,     Texas,18378000
1994,UT,     Utah,1908000
1994,VA,     Virginia,6552000
1994,VT,     Vermont,580000
1994,WA,     Washington,5343000
1994,WI,     Wisconsin,5082000
1994,WV,     West Virginia,1822000
1994,WY,     Wyoming,476000
1995,AK,     Alaska,604000
1995,AL,     Alabama,4253000
1995,AR,     Arkansas,2484000
1995,AZ,     Arizona,4218000
1995,CA,     California,31589000
1995,CO,     Colorado,3747000
1995,CT,     Connecticut,3275000
1995,DC,     District of Columbia,554000
1995,DE,     Delaware,717000
1995,FL,     Florida,14166000
1995,GA,     Georgia,7201000
1995,HI,     Hawaii,1187000
1995,IA,     Iowa,2842000
1995,ID,     Idaho,1163000
1995,IL,     Illinois,11830000
1995,IN,     Indiana,5803000
1995,KS,     Kansas,2565000
1995,KY,     Kentucky,3860000
1995,LA,     Louisiana,4342000
1995,MA,     Massachusetts,6074000
1995,MD,     Maryland,5042000
1995,ME,     Maine,1241000
1995,MI,     Michigan,9549000
1995,MN,     Minnesota,4610000
1995,MO,     Missouri,5324000
1995,MS,     Mississippi,2697000
1995,MT,     Montana,870000
1995,NC,     North Carolina,7195000
1995,ND,     North Dakota,641000
1995,NE,     Nebraska,1637000
1995,NH,     New Hampshire,1148000
1995,NJ,     New Jersey,7945000
1995,NM,     New Mexico,1685000
1995,NV,     Nevada,1530000
1995,NY,     New York,18136000
1995,OH,     Ohio,11151000
1995,OK,     Oklahoma,3278000
1995,OR,     Oregon,3141000
1995,PA,     Pennsylvania,12072000
1995,RI,     Rhode Island,990000
